timestamp,location,cpe,device_id,data
1488899396.34,tokyo,raspi001,A1324LUA-T,1
1488899396.66,tokyo,raspi001,A1324LUA-T,1
1488899396.97,tokyo,raspi001,A1324LUA-T,1
1488899397.29,tokyo,raspi001,A1324LUA-T,1
1488899397.60,tokyo,raspi001,A1324LUA-T,1
1488899397.91,tokyo,raspi001,A1324LUA-T,1
1488899398.21,tokyo,raspi001,A1324LUA-T,1
1488899398.53,tokyo,raspi001,A1324LUA-T,1
1488899398.84,tokyo,raspi001,A1324LUA-T,1
1488899399.16,tokyo,raspi001,A1324LUA-T,1
1488899399.47,tokyo,raspi001,A1324LUA-T,1
1488899399.80,tokyo,raspi001,A1324LUA-T,1
1488899400.13,tokyo,raspi001,A1324LUA-T,1
1488899400.44,tokyo,raspi001,A1324LUA-T,1
1488899400.76,tokyo,raspi001,A1324LUA-T,1
1488899401.07,tokyo,raspi001,A1324LUA-T,1
1488899401.40,tokyo,raspi001,A1324LUA-T,1
1488899401.70,tokyo,raspi001,A1324LUA-T,1
1488899402.02,tokyo,raspi001,A1324LUA-T,1
1488899402.32,tokyo,raspi001,A1324LUA-T,1
1488899402.64,tokyo,raspi001,A1324LUA-T,1
1488899402.95,tokyo,raspi001,A1324LUA-T,1
1488899403.26,tokyo,raspi001,A1324LUA-T,1
1488899403.56,tokyo,raspi001,A1324LUA-T,1
1488899403.88,tokyo,raspi001,A1324LUA-T,1
1488899404.19,tokyo,raspi001,A1324LUA-T,1
1488899404.52,tokyo,raspi001,A1324LUA-T,1
1488899404.83,tokyo,raspi001,A1324LUA-T,1
1488899405.15,tokyo,raspi001,A1324LUA-T,1
1488899405.46,tokyo,raspi001,A1324LUA-T,1
1488899405.76,tokyo,raspi001,A1324LUA-T,1
1488899406.07,tokyo,raspi001,A1324LUA-T,1
1488899406.36,tokyo,raspi001,A1324LUA-T,1
1488899406.68,tokyo,raspi001,A1324LUA-T,1
1488899406.98,tokyo,raspi001,A1324LUA-T,1
1488899407.35,tokyo,raspi001,A1324LUA-T,1
1488899409.27,tokyo,raspi001,A1324LUA-T,1
1488899409.73,tokyo,raspi001,A1324LUA-T,1
1488899410.08,tokyo,raspi001,A1324LUA-T,1
1488899410.40,tokyo,raspi001,A1324LUA-T,1
1488899410.70,tokyo,raspi001,A1324LUA-T,1
1488899411.01,tokyo,raspi001,A1324LUA-T,1
1488899411.31,tokyo,raspi001,A1324LUA-T,1
1488899411.62,tokyo,raspi001,A1324LUA-T,1
1488899411.92,tokyo,raspi001,A1324LUA-T,1
1488899412.23,tokyo,raspi001,A1324LUA-T,1
1488899412.53,tokyo,raspi001,A1324LUA-T,1
1488899412.84,tokyo,raspi001,A1324LUA-T,1
1488899413.15,tokyo,raspi001,A1324LUA-T,1
1488899413.44,tokyo,raspi001,A1324LUA-T,1
1488899413.75,tokyo,raspi001,A1324LUA-T,1
1488899414.05,tokyo,raspi001,A1324LUA-T,1
1488899414.37,tokyo,raspi001,A1324LUA-T,1
1488899414.68,tokyo,raspi001,A1324LUA-T,1
1488899415.00,tokyo,raspi001,A1324LUA-T,1
1488899415.31,tokyo,raspi001,A1324LUA-T,1
1488899415.61,tokyo,raspi001,A1324LUA-T,1
1488899415.93,tokyo,raspi001,A1324LUA-T,1
1488899416.25,tokyo,raspi001,A1324LUA-T,1
1488899416.59,tokyo,raspi001,A1324LUA-T,1
1488899416.90,tokyo,raspi001,A1324LUA-T,1
1488899417.22,tokyo,raspi001,A1324LUA-T,1
1488899417.53,tokyo,raspi001,A1324LUA-T,1
1488899417.85,tokyo,raspi001,A1324LUA-T,1
1488899418.16,tokyo,raspi001,A1324LUA-T,1
1488899418.48,tokyo,raspi001,A1324LUA-T,1
1488899418.78,tokyo,raspi001,A1324LUA-T,1
1488899419.11,tokyo,raspi001,A1324LUA-T,1
1488899419.42,tokyo,raspi001,A1324LUA-T,1
1488899419.74,tokyo,raspi001,A1324LUA-T,1
1488899420.06,tokyo,raspi001,A1324LUA-T,1
1488899420.37,tokyo,raspi001,A1324LUA-T,1
1488899420.69,tokyo,raspi001,A1324LUA-T,1
1488899421.01,tokyo,raspi001,A1324LUA-T,1
1488899421.36,tokyo,raspi001,A1324LUA-T,1
1488899421.70,tokyo,raspi001,A1324LUA-T,1
1488899422.04,tokyo,raspi001,A1324LUA-T,1
1488899422.38,tokyo,raspi001,A1324LUA-T,1
1488899422.72,tokyo,raspi001,A1324LUA-T,1
1488899423.09,tokyo,raspi001,A1324LUA-T,1
1488899426.15,tokyo,raspi001,A1324LUA-T,1
1488899426.57,tokyo,raspi001,A1324LUA-T,1
1488899426.90,tokyo,raspi001,A1324LUA-T,1
1488899427.23,tokyo,raspi001,A1324LUA-T,1
1488899427.52,tokyo,raspi001,A1324LUA-T,1
1488899427.83,tokyo,raspi001,A1324LUA-T,1
1488899428.12,tokyo,raspi001,A1324LUA-T,1
1488899428.41,tokyo,raspi001,A1324LUA-T,1
1488899429.02,tokyo,raspi001,A1324LUA-T,1
1488899429.31,tokyo,raspi001,A1324LUA-T,1
1488899429.63,tokyo,raspi001,A1324LUA-T,1
1488899429.95,tokyo,raspi001,A1324LUA-T,1
1488899430.27,tokyo,raspi001,A1324LUA-T,1
1488899430.59,tokyo,raspi001,A1324LUA-T,1
1488899430.89,tokyo,raspi001,A1324LUA-T,1
1488899431.21,tokyo,raspi001,A1324LUA-T,1
1488899431.56,tokyo,raspi001,A1324LUA-T,1
1488899431.88,tokyo,raspi001,A1324LUA-T,1
1488899432.20,tokyo,raspi001,A1324LUA-T,1
1488899432.51,tokyo,raspi001,A1324LUA-T,1
1488899432.82,tokyo,raspi001,A1324LUA-T,1
1488899433.12,tokyo,raspi001,A1324LUA-T,1
1488899433.44,tokyo,raspi001,A1324LUA-T,1
1488899433.75,tokyo,raspi001,A1324LUA-T,1
1488899434.06,tokyo,raspi001,A1324LUA-T,1
1488899434.38,tokyo,raspi001,A1324LUA-T,1
1488899434.68,tokyo,raspi001,A1324LUA-T,1
1488899434.99,tokyo,raspi001,A1324LUA-T,1
1488899435.33,tokyo,raspi001,A1324LUA-T,1
1488899435.69,tokyo,raspi001,A1324LUA-T,1
1488899436.03,tokyo,raspi001,A1324LUA-T,1
1488899436.35,tokyo,raspi001,A1324LUA-T,1
1488899436.69,tokyo,raspi001,A1324LUA-T,1
1488899437.01,tokyo,raspi001,A1324LUA-T,1
1488899437.34,tokyo,raspi001,A1324LUA-T,1
1488899437.76,tokyo,raspi001,A1324LUA-T,1
1488899440.07,tokyo,raspi001,A1324LUA-T,1
1488899441.60,tokyo,raspi001,A1324LUA-T,1
1488899441.98,tokyo,raspi001,A1324LUA-T,1
1488899442.34,tokyo,raspi001,A1324LUA-T,1
1488899442.67,tokyo,raspi001,A1324LUA-T,1
1488899443.01,tokyo,raspi001,A1324LUA-T,1
1488899443.32,tokyo,raspi001,A1324LUA-T,1
1488899443.64,tokyo,raspi001,A1324LUA-T,1
1488899443.95,tokyo,raspi001,A1324LUA-T,1
1488899444.25,tokyo,raspi001,A1324LUA-T,1
1488899444.56,tokyo,raspi001,A1324LUA-T,1
1488899444.86,tokyo,raspi001,A1324LUA-T,1
1488899445.17,tokyo,raspi001,A1324LUA-T,1
1488899445.49,tokyo,raspi001,A1324LUA-T,1
1488899446.18,tokyo,raspi001,A1324LUA-T,1
1488899453.88,tokyo,raspi001,A1324LUA-T,1
1488899454.63,tokyo,raspi001,A1324LUA-T,1
1488899454.98,tokyo,raspi001,A1324LUA-T,1
1488899455.29,tokyo,raspi001,A1324LUA-T,1
1488899455.89,tokyo,raspi001,A1324LUA-T,1
1488899456.18,tokyo,raspi001,A1324LUA-T,1
1488899456.47,tokyo,raspi001,A1324LUA-T,1
1488899456.78,tokyo,raspi001,A1324LUA-T,1
1488899457.10,tokyo,raspi001,A1324LUA-T,1
1488899457.40,tokyo,raspi001,A1324LUA-T,1
1488899457.72,tokyo,raspi001,A1324LUA-T,1
1488899458.02,tokyo,raspi001,A1324LUA-T,1
